,Employers,City,State,Jobs,Links
1243,dunnhumby,Chicago,IL,Senior Applied Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=802&ao=421329&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_ed7c55c0&cb=1604353686358&jobListingId=3701383769
1244,Myticas Consulting,Chicago,IL,BHJOB15656_15411 - Machine Learning (ML) and Data Science Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=803&ao=1044072&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_0ff29afc&cb=1604353686358&jobListingId=3728484947
1245,Epsilon,Chicago,IL,Director of Data Science,https://www.glassdoor.com/partner/jobListing.htm?pos=804&ao=1044074&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_58035d20&cb=1604353686360&jobListingId=3696481164
1246,HERE Technologies,Chicago,IL,Lead Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=805&ao=810857&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_1110d13d&cb=1604353686362&jobListingId=3723911668
1247,TalentDash,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=806&ao=4341&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d3a6e705&cb=1604353686367&jobListingId=3320371547
1248,RiverPoint,Chicago,IL,Web Analytics Consultant,https://www.glassdoor.com/partner/jobListing.htm?pos=807&ao=1044072&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1f6836ba&cb=1604353686362&jobListingId=3635892871
1249,Tech-Connect,Chicago,IL,Principal Data Scientist 200000CC,https://www.glassdoor.com/partner/jobListing.htm?pos=808&ao=4321&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c9aed768&cb=1604353686363&jobListingId=3647168950
1250,CreditNinja,Chicago,IL,Senior Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=809&ao=58033&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_300adfff&cb=1604353686363&jobListingId=3491644245
1251,Tempus Labs,Chicago,IL,Product Development Scientist - Covid 19,https://www.glassdoor.com/partner/jobListing.htm?pos=810&ao=8095&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d67a0ba3&cb=1604353686363&jobListingId=3470587342
1252,Farmers Insurance,Chicago,IL,Lead Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=811&ao=818984&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_4831179d&cb=1604353686364&jobListingId=3661153689
1253,Chicago Public Schools,Chicago,IL,CSI Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=812&ao=3839&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_e39ff964&cb=1604353686364&jobListingId=3648013949
1254,Old Mission Capital,Chicago,IL,Senior Quantitative Researcher/Strategist,https://www.glassdoor.com/partner/jobListing.htm?pos=813&ao=1116526&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_074843b6&cb=1604353686365&jobListingId=3615410684
1255,Groupon,Chicago,IL,Sr Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=814&ao=242900&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_41e3f89a&cb=1604353686365&jobListingId=3701619331
1256,CNA,Chicago,IL,AI & Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=815&ao=3839&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_52925fb1&cb=1604353686366&jobListingId=3719850983
1257,American Marketing Association,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=816&ao=4128&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_142998fd&cb=1604353686367&jobListingId=3675290845
1258,softsnippets,Chicago,IL,AI/ML Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=817&ao=37049&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d764ef0&cb=1604353686367&jobListingId=3620678681
1259,KeyBank,Chicago,IL,"Big Data Machine Learning Engineer in Chicago, IL at KeyBank",https://www.glassdoor.com/partner/jobListing.htm?pos=818&ao=4120&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_cad64d80&cb=1604353686368&jobListingId=3604270750
1260,HopHR,Chicago,IL,"Data Scientist - Health Outcomes, Advisor | IL - Northbrook",https://www.glassdoor.com/partner/jobListing.htm?pos=819&ao=148364&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_82143a79&cb=1604353686368&jobListingId=3717561263
1261,GoHealth,Chicago,IL,Senior Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=820&ao=133357&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0f1db694&cb=1604353686369&jobListingId=3697003069
1262,Myticas Consulting,Chicago,IL,BHJOB15656_15399 - ETL Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=821&ao=1044072&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c77af3b&cb=1604353686370&jobListingId=3728485680
1263,Shure Incorporated,Chicago,IL,IT Data Engineering Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=822&ao=1049873&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_00671483&cb=1604353686370&jobListingId=3656126548
1264,Alliant Credit Union,Chicago,IL,Member Experience Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=823&ao=1115173&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_ac297cd8&cb=1604353686371&jobListingId=3675830572
1265,ASRC Federal Holding Company,Chicago,IL,Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=824&ao=37049&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_d9c3dccf&cb=1604353686371&jobListingId=3716027127
1266,Capgemini,Chicago,IL,Lead Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=825&ao=136249&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_60878e30&cb=1604353686371&jobListingId=3491045268
1267,Rush University Medical Center,Chicago,IL,Senior Clinical Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=826&ao=320809&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_419ee77a&cb=1604353686372&jobListingId=3717638643
1268,Integral Ad Science,Chicago,IL,Senior Big Data Engineer- Data Warehouse,https://www.glassdoor.com/partner/jobListing.htm?pos=827&ao=940757&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_16af442f&cb=1604353686372&jobListingId=3447366277
1269,ZS Associates,Chicago,IL,Data Science Associate (All Other US Universities),https://www.glassdoor.com/partner/jobListing.htm?pos=828&ao=643978&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab8a2b88&cb=1604353686373&jobListingId=3728947880
1270,Wi-Tronix,Chicago,IL,Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=829&ao=4008&s=58&guid=000001758aee79158e5477e6a9190bc2&src=GD_JOB_AD&t=SR&vt=w&cs=1_5a63ab8b&cb=1604353686374&jobListingId=3579466495
1271,Aon,Chicago,IL,Insurance Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=901&ao=4120&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_91cd0fae&cb=1604353701350&jobListingId=3708646508
1272,Mintel,Chicago,IL,Jr. Data Analyst - Futures,https://www.glassdoor.com/partner/jobListing.htm?pos=902&ao=8095&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6f81961&cb=1604353701350&jobListingId=3730308453
1273,National-Louis University,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=903&ao=37049&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_9654ac3a&cb=1604353701351&jobListingId=3724745055
1274,DRW,Chicago,IL,Quantitative Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=904&ao=8095&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b0405688&cb=1604353701351&jobListingId=3240149973
1275,The CORE Group,Chicago,IL,Business Analytics Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=905&ao=66506&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a867baf0&cb=1604353701352&jobListingId=3727494246
1276,Valkyrie Trading,Chicago,IL,Quantitative Analyst Intern - Summer 2021,https://www.glassdoor.com/partner/jobListing.htm?pos=906&ao=148364&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_4284b4e3&cb=1604353701354&jobListingId=3643430765
1277,Capgemini,Chicago,IL,Managing Enterprise Architect - IoT Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=907&ao=136249&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_8901f06a&cb=1604353701354&jobListingId=3644477993
1278,IFG Companies,Chicago,IL,Jr. Business Intelligence Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=908&ao=192327&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_d32ea043&cb=1604353701355&jobListingId=3623062690
1279,divvyDOSE,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=909&ao=14295&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb872514&cb=1604353701357&jobListingId=3710755073
1280,Uline,Chicago,IL,Business Analytics Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=910&ao=4120&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_52b348f0&cb=1604353701357&jobListingId=3628397526
1281,Zoro Tools,Chicago,IL,"Sr Data Scientist, Zoro",https://www.glassdoor.com/partner/jobListing.htm?pos=911&ao=798557&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7cca160&cb=1604353701357&jobListingId=3722623919
1282,Allston Trading,Chicago,IL,Quantitative Researcher HFT Desk,https://www.glassdoor.com/partner/jobListing.htm?pos=912&ao=8095&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_9514a492&cb=1604353701357&jobListingId=2673370997
1283,Capital One,Chicago,IL,Current Master's - Data Science Internship - Summer,https://www.glassdoor.com/partner/jobListing.htm?pos=913&ao=242900&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_787fa5e6&cb=1604353701358&jobListingId=3689854215
1284,Syngenta,Chicago,IL,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=914&ao=3839&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c9b924e&cb=1604353701359&jobListingId=3701523980
1285,Specialty Consulting Inc.,Chicago,IL,Mid-Level Environmental Scientist / Geologist / Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=915&ao=1044077&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5226df37&cb=1604353701359&jobListingId=3727545594
1286,FS LLC.,Chicago,IL,Business Intelligence Analyst - P&C Insurance Industry with ACORD,https://www.glassdoor.com/partner/jobListing.htm?pos=916&ao=1044077&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c2da3329&cb=1604353701360&jobListingId=3727296688
1287,Shure Incorporated,Chicago,IL,Senior Data Architect,https://www.glassdoor.com/partner/jobListing.htm?pos=917&ao=1049873&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_364cfd4a&cb=1604353701360&jobListingId=3638694116
1288,Tegus,Chicago,IL,Product Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=918&ao=4120&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_b575d41e&cb=1604353701360&jobListingId=3716119151
1289,Tempus Labs,Chicago,IL,Bioinformatics Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=919&ao=8095&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1bb6a17a&cb=1604353701361&jobListingId=3366306001
1290,Thermo Fisher Scientific,Chicago,IL,Commercial Data Science Marketing Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=920&ao=133879&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_0db6d568&cb=1604353701361&jobListingId=3716732505
1291,Unicom Technologies INC,Chicago,IL,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=921&ao=37049&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_4fde5116&cb=1604353701362&jobListingId=3488550910
1292,GoHealth,Chicago,IL,Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=922&ao=133357&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_02ae61e8&cb=1604353701363&jobListingId=3697003487
1293,Optiver US,Chicago,IL,Campus: Quantitative Research (2021 Start),https://www.glassdoor.com/partner/jobListing.htm?pos=923&ao=8095&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_3fda83fe&cb=1604353701364&jobListingId=3646904197
1294,Aon,Chicago,IL,Aon Campus - Health Analytics Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=924&ao=4120&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_13cdb3fc&cb=1604353701364&jobListingId=3702382931
1295,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,Data Analyst-Medical Imaging,https://www.glassdoor.com/partner/jobListing.htm?pos=925&ao=1020558&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_95f6ba10&cb=1604353701364&jobListingId=3724967025
1296,Aquent,Chicago,IL,Marketing Data Analyst (Part,https://www.glassdoor.com/partner/jobListing.htm?pos=926&ao=1044072&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_fb3b7217&cb=1604353701365&jobListingId=3682672556
1297,"Sunrise Futures, LLC",Chicago,IL,Quantitative Researcher/Strategy Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=927&ao=7438&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fb6f627d&cb=1604353701365&jobListingId=3452884616
1298,Griffith Foods,Chicago,IL,Customer Service Data Analyst - Innova Flavors,https://www.glassdoor.com/partner/jobListing.htm?pos=928&ao=186601&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8871a58&cb=1604353701366&jobListingId=3693463894
1299,Kforce,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=929&ao=220345&s=58&guid=000001758aeeb4308595b0fbd1690295&src=GD_JOB_AD&t=SR&vt=w&cs=1_6a5ed4c4&cb=1604353701367&jobListingId=3690443327
1300,Hyatt Corporate Office,Chicago,IL,DATA ENGINEER,https://www.glassdoor.com/partner/jobListing.htm?pos=1001&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_674d6ff0&cb=1604353723292&jobListingId=3680846924
1301,Capgemini,Chicago,IL,Managing Enterprise Architect - IoT Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1002&ao=136249&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_5225da89&cb=1604353723292&jobListingId=3644477993
1302,United Airlines Inc.,Chicago,IL,Data Analytics Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=1003&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_08a6ac2e&cb=1604353723292&jobListingId=3726884430
1303,Kelton,Chicago,IL,"Senior Analyst, Quantitative Research",https://www.glassdoor.com/partner/jobListing.htm?pos=1004&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_672d0cfd&cb=1604353723293&jobListingId=3694526136
1304,IFG Companies,Chicago,IL,Jr. Business Intelligence Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=1005&ao=192327&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_080a8aa0&cb=1604353723294&jobListingId=3623062690
1305,Sky Consulting Inc,Chicago,IL,Sr.Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1006&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9386d33c&cb=1604353723297&jobListingId=3665639040
1306,Toyota Research Institute,Chicago,IL,"Senior or Staff Research Scientist, Data Fusion, Automated Mapping Platform (AMP)",https://www.glassdoor.com/partner/jobListing.htm?pos=1007&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_bd7ce8c6&cb=1604353723298&jobListingId=3665643677
1307,MT Global US INC.,Chicago,IL,Data Analyst Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=1008&ao=1091454&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f059652a&cb=1604353723299&jobListingId=3691357472
1308,Zoro Tools,Chicago,IL,"Sr Data Scientist, Zoro",https://www.glassdoor.com/partner/jobListing.htm?pos=1009&ao=798557&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9209a9a&cb=1604353723300&jobListingId=3722623919
1309,divvyDOSE,Chicago,IL,Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=1010&ao=14295&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_c0606787&cb=1604353723300&jobListingId=3710755073
1310,AllianceChicago,Chicago,IL,Clinical Research Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1011&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_5c1949d2&cb=1604353723300&jobListingId=3665746065
1311,UnitedHealth Group,Chicago,IL,"Data Analyst, Service Line Advancement",https://www.glassdoor.com/partner/jobListing.htm?pos=1012&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba60e065&cb=1604353723301&jobListingId=3720202449
1312,Syngenta,Chicago,IL,Data Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1013&ao=3839&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_a882df01&cb=1604353723301&jobListingId=3701523980
1313,Capital One,Chicago,IL,Current Master's - Data Science Internship - Summer,https://www.glassdoor.com/partner/jobListing.htm?pos=1014&ao=242900&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_bc66e8a9&cb=1604353723302&jobListingId=3689854215
1314,Specialty Consulting Inc.,Chicago,IL,Mid-Level Environmental Scientist / Geologist / Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1015&ao=1044077&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_392219c3&cb=1604353723303&jobListingId=3727545594
1315,FS LLC.,Chicago,IL,Business Intelligence Analyst - P&C Insurance Industry with ACORD,https://www.glassdoor.com/partner/jobListing.htm?pos=1016&ao=1044077&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0389df20&cb=1604353723303&jobListingId=3727296688
1316,Shure Incorporated,Chicago,IL,Senior Data Architect,https://www.glassdoor.com/partner/jobListing.htm?pos=1017&ao=1049873&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_f71f1143&cb=1604353723303&jobListingId=3638694116
1317,Tegus,Chicago,IL,Product Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=1018&ao=4120&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_74263817&cb=1604353723304&jobListingId=3716119151
1318,Tempus Labs,Chicago,IL,Bioinformatics Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1019&ao=8095&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dae54d73&cb=1604353723304&jobListingId=3366306001
1319,Thermo Fisher Scientific,Chicago,IL,Commercial Data Science Marketing Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=1020&ao=133879&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_66b2139c&cb=1604353723304&jobListingId=3716732505
1320,GoHealth,Chicago,IL,Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1021&ao=133357&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c6b72ca7&cb=1604353723305&jobListingId=3697003487
1321,Unicom Technologies INC,Chicago,IL,Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1022&ao=37049&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_8bc71c59&cb=1604353723306&jobListingId=3488550910
1322,"CTI Clinical Trial Services, Inc",Chicago,IL,Principal Real World Research & Data Scientist,https://www.glassdoor.com/partner/jobListing.htm?pos=1023&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7ed01189&cb=1604353723306&jobListingId=3665894260
1323,Aon,Chicago,IL,Aon Campus - Health Analytics Data Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=1024&ao=4120&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_e84bf664&cb=1604353723307&jobListingId=3702382931
1324,Aquent,Chicago,IL,Marketing Data Analyst (Part,https://www.glassdoor.com/partner/jobListing.htm?pos=1025&ao=1044072&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_afa0bc34&cb=1604353723307&jobListingId=3682672556
1325,Optiver US,Chicago,IL,Campus: Quantitative Research (2021 Start),https://www.glassdoor.com/partner/jobListing.htm?pos=1026&ao=8095&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_747c2a71&cb=1604353723308&jobListingId=3646904197
1326,Deloitte,Chicago,IL,Machine Learning Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1027&ao=1091461&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_4441c1cb&cb=1604353723308&jobListingId=3723410865
1327,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,Data Analyst-Medical Imaging,https://www.glassdoor.com/partner/jobListing.htm?pos=1028&ao=1020558&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_de50139f&cb=1604353723309&jobListingId=3724967025
1328,Invenergy,Chicago,IL,"Data Engineer, Operations Engineering",https://www.glassdoor.com/partner/jobListing.htm?pos=1029&ao=242900&s=58&guid=000001758aef09e2a4279cdfee546436&src=GD_JOB_AD&t=SR&vt=w&cs=1_0de66918&cb=1604353723310&jobListingId=3729885969
1329,Braze,New York,NY,UX Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=940454&s=149&guid=000001758aef5fa5a6101c5f0a345448&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_0ba32674&cb=1604353745354&jobListingId=3546540918
1330,Thomson Reuters,New York,NY,User Experience (UX) Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=335193&s=149&guid=000001758aef5fa5a6101c5f0a345448&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_ac8ef925&cb=1604353745355&jobListingId=3723590990
1331,OkCupid,New York,NY,User Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1133370&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&cs=1_86b7b706&cb=1604353745355&jobListingId=3651026143
1332,The Rockefeller University,New York,NY,Research Support Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&cs=1_d0bebab4&cb=1604353745355&jobListingId=3658203240
1333,DSV Solutions LLC,New York,NY,WMS Super User/Sr IT Specialist,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044077&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dd6b19c1&cb=1604353745357&jobListingId=3711039004
1334,Better.com,New York,NY,Director of User Research,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_78362fa7&cb=1604353745358&jobListingId=3652485922
1335,Bloomberg,New York,NY,Senior Visual Designer for Web/Mobile,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&cs=1_3d6f819e&cb=1604353745360&jobListingId=3723234190
1336,The Rockefeller University,New York,NY,"Research Support Specialist, High Throughput Screening Resource Center",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=000001758aef5fa5b09cd8562c492665&src=GD_JOB_AD&t=SR&vt=w&cs=1_cae34140&cb=1604353745361&jobListingId=3687662280
